Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Rutland,1,5,188827.26,172418.16,5414.89,4594.46,820.43,251
Hebron,5,25,10624642.89,9650094.16,307616.6,258886.71,48729.89,"1,384"
Indian Head Park,4,20,21771764.77,19997936.21,558735.07,470043.47,88691.6,"3,812"
Gibson City,9,40,14885894.73,13675253.54,383046.6,322514.32,60532.28,"3,328"
West Dundee,11,46,10301586.27,9391473.14,286303.04,240797.12,45505.92,"7,535"
Troy Grove,2,6,933510.29,868552.91,20334.37,17086.5,3247.87,261
Ringwood,2,10,4728804.09,4325438.34,126777.63,106608.7,20168.93,743
Green Valley,1,5,2233847.36,2038443.26,61770.4,52000.18,9770.22,750
Williamsfield,1,4,1018143.83,934659.13,26233.24,22058.99,4174.25,461
Wauconda,18,89,55933331.09,51163876.98,1503714.54,1265228.16,238486.38,"13,754"
Royalton,3,13,2640939.51,2407765.81,72193.64,60534.84,11658.8,"1,119"
Wood Dale,12,58,34671300.98,31735470.97,924628.5,777827.27,146801.23,"13,848"
Stonington,1,5,1210363.75,1120241.07,28410.76,23904.61,4506.15,906
Polo,3,13,4643181.55,4243635.46,125586.91,105609.53,19977.38,"2,168"
Manito,3,13,5336255.47,4915414.17,132499.47,111456.55,21042.92,"1,513"
Emden,2,9,3332027.94,3093285.41,75314.46,63377.29,11937.17,518
Pierron,3,12,3338201.66,3060160.15,86819.74,72917.58,13902.16,446
Moweaqua,3,13,4188343.12,3825864.51,114474.51,96350.44,18124.07,"1,893"
Hodgkins,2,10,9862469.03,8988591.34,275669.98,231976.0,43693.98,"1,967"
Island Lake,6,30,21266599.1,19606856.29,522987.39,440000.03,82987.36,"8,056"
Palestine,3,12,2485864.08,2272257.86,67073.11,56392.73,10680.38,"1,191"
Walnut,4,15,5077551.71,4663867.6,129661.3,108976.9,20684.4,"1,389"
Champaign,63,290,216476319.62,198891446.58,5536547.51,4657291.06,879256.45,"86,791"
Herscher,3,13,4483387.87,4140160.42,108548.18,91385.92,17162.26,"1,471"
Martinton,1,3,925491.11,845869.29,24964.61,20983.5,3981.11,356
Glasford,2,7,2146972.69,1974414.3,54540.22,45912.32,8627.9,"1,223"
Wheeling,21,93,62956411.08,57725154.45,1656260.44,1394681.9,261578.54,"38,424"
Loda,2,9,5272365.07,4866579.84,128048.74,107758.91,20289.83,324
Hanover,6,25,2062752.89,1892334.02,54321.36,45800.18,8521.18,645
Lena,4,20,6047864.52,5539060.46,160703.35,135259.15,25444.2,"2,873"
Saunemin,2,9,2766536.03,2543165.25,70486.64,59318.03,11168.61,376
Bradley,20,93,67824375.91,62279262.18,1747400.39,1470108.04,277292.35,"15,428"
Shorewood,6,29,9980968.63,9111065.57,276036.79,232541.48,43495.31,"17,026"
Macomb,11,41,17859315.26,16397359.56,462537.42,389437.97,73099.45,"18,118"
Bloomingdale,6,26,15379336.52,14146256.37,389712.82,328046.85,61665.97,"22,138"
Phoenix,2,6,7774832.33,7125191.5,203673.43,171189.53,32483.9,"2,020"
Hoffman Estates,29,142,104195481.89,95460836.18,2752196.31,2315451.76,436744.55,"51,282"
Rock City,1,5,2482424.77,2279932.64,63743.64,53618.97,10124.67,296
Round Lake Beach,15,72,71298767.66,65388753.33,1862407.97,1566899.14,295508.83,"27,692"
Andover,1,5,2321432.9,2111336.22,65830.9,55326.05,10504.85,563
Tampico,2,10,2109612.16,1927466.23,57927.86,48783.36,9144.5,735
Jerseyville,14,65,26510519.02,24437730.13,652865.84,549229.46,103636.38,"8,127"
Carbon Hill,2,9,3513766.36,3237076.06,87250.46,73415.92,13834.54,311
La Harpe,1,3,99860.25,88505.03,3586.12,3018.34,567.78,"1,411"
North Pekin,5,24,15215928.84,13979544.79,388477.85,326656.91,61820.94,"1,384"
Cortland,1,5,2684180.79,2483991.8,63261.68,53251.4,10010.28,"4,087"
Willisville,3,13,4626119.05,4248120.24,118997.01,100095.01,18902.0,644
Tolono,5,23,8791338.62,8088759.15,221559.87,186428.56,35131.31,"3,086"
Reynolds,1,3,1183093.58,1106145.79,24283.87,20436.45,3847.42,506
Cordova,2,10,3271234.91,3016176.25,80247.16,67494.2,12752.96,705
Tonica,2,9,3069250.73,2838284.19,72677.84,61129.45,11548.39,725
New Berlin,4,20,8408258.79,7722721.96,216470.2,182190.62,34279.58,"1,553"
Berwyn,58,270,165425160.83,151302830.07,4447434.06,3741303.97,706130.09,"55,949"
White Hall,3,14,5526440.23,5046706.07,151597.79,127610.83,23986.96,"2,321"
Spaulding,2,10,6116006.63,5642043.77,149515.3,125817.1,23698.2,950
Crystal Lake,16,46,29464681.69,26866061.34,819161.05,689229.56,129931.49,"40,170"
Kempton,1,3,540706.29,505543.15,11034.51,9276.29,1758.22,231
Burbank,24,117,111820876.77,103142249.26,2732033.7,2298094.7,433939.0,"28,947"
Findlay,3,10,1432027.75,1317621.99,36386.29,30665.95,5720.34,728
Fairview,1,3,1042401.55,952132.94,28275.37,23761.87,4513.5,"2,519"
Batavia,7,35,20456447.43,18839381.35,510581.76,429723.57,80858.19,"26,282"
Cherry Valley,13,65,45226193.01,41623933.79,1136262.85,956140.43,180122.42,"2,895"
Chatsworth,2,9,2096112.64,1929305.14,52189.97,43849.55,8340.42,"1,196"
Gilberts,8,40,23443936.03,21545746.8,598012.97,503095.38,94917.59,"7,742"
Monroe Center,4,20,10867039.1,10056359.34,256834.14,216298.06,40536.08,402
Nokomis,5,21,4734164.96,4366992.89,115555.56,97193.32,18362.24,"2,102"
Greenup,7,31,17568558.48,16052226.2,477633.24,401815.86,75817.38,"1,705"
Buffalo Grove,10,48,22886734.85,21029039.92,584564.94,491679.33,92885.61,"41,329"
Marine,2,9,5180654.25,4786063.12,124150.24,104420.65,19729.59,947
Pawnee,4,20,10105236.69,9296697.36,254993.87,214566.78,40427.09,"2,631"
Dunlap,4,18,4981409.24,4605931.19,117879.29,99105.26,18774.03,"1,160"
Georgetown,4,15,10379428.54,9578136.88,252428.62,212363.53,40065.09,"4,878"
Albers,1,4,1546280.29,1419896.7,39710.5,33391.29,6319.21,"1,184"
Smithton,6,30,15813074.56,14567401.43,393006.23,330721.86,62284.37,"3,980"
Prairie Grove,2,9,5111262.64,4703522.28,128108.5,107721.42,20387.08,"1,826"
Viola,2,6,395218.64,367075.41,8916.7,7509.52,1407.18,937
Bradford,3,12,2314801.64,2127915.14,59327.05,49982.68,9344.37,660
Shawneetown,3,13,2350073.19,2188500.98,51100.2,43021.53,8078.67,"1,292"
Glendale Heights,15,74,68313580.56,62823040.38,1728142.38,1453614.22,274528.16,"34,280"
Chebanse,4,17,2957670.77,2724137.91,73223.42,61546.58,11676.84,"1,138"
Rochelle,15,68,37070684.8,34022907.22,959064.92,806677.93,152386.99,"9,196"
