Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Ford Heights,3,15,12766503.31,11701075.86,335401.89,282126.93,53274.96,"2,755"
Bensenville,10,47,29831414.74,27333905.3,787658.68,662782.76,124875.92,"18,400"
Bellwood,2,8,3441093.81,3138461.19,94845.84,79714.17,15131.67,"19,112"
Golden,1,5,1088611.31,999429.74,28207.74,23748.66,4459.08,646
Flora,7,34,22728235.09,21045403.48,529312.35,445166.63,84145.72,"4,842"
Mount Vernon,30,142,111228037.57,102262556.97,2822300.93,2374013.24,448287.69,"14,804"
Dixon,27,123,78846456.79,72348529.12,2047932.63,1723028.25,324904.38,"15,496"
Cicero,49,229,204273817.95,186772532.62,5517891.34,4642808.83,875082.51,"83,147"
Wataga,1,5,3461386.84,3162101.76,94610.29,79644.53,14965.76,773
Lewistown,6,28,6588456.41,6048047.78,170836.73,143815.93,27020.8,"2,349"
Bridgeview,30,148,102786873.18,94155007.74,2716029.72,2284426.69,431603.03,"16,440"
Cobden,1,4,1729230.45,1591282.79,43149.52,36252.14,6897.38,"1,161"
Augusta,3,10,2906350.78,2660460.45,77577.38,65282.78,12294.6,465
Springfield,140,652,420116527.4,385534589.07,10883866.82,9154673.68,1729193.14,"116,459"
Dawson,2,6,2074522.8,1937706.73,43010.41,36169.52,6840.89,667
Tinley Park,35,166,124022676.8,114041163.94,3141063.76,2641983.39,499080.37,"56,898"
Wamac,6,30,16181956.35,14885080.87,407741.29,342895.84,64845.45,"1,178"
Bartonville,18,84,38996380.16,35923439.68,968336.3,814688.66,153647.64,"6,316"
Shelbyville,8,37,19958944.09,18258863.13,536599.9,451595.36,85004.54,"4,527"
Carrier Mills,3,16,4951991.94,4608713.9,108044.19,90880.19,17164.0,"1,938"
Villa Park,19,92,98132620.78,89903728.03,2592489.82,2181041.83,411447.99,"21,893"
Olympia Fields,3,13,10280288.71,9431707.21,266900.55,224471.32,42429.23,"5,055"
Cissna Park,1,3,613543.18,573009.59,12856.64,10829.87,2026.77,778
Illiopolis,3,15,4264779.24,3929965.1,105614.54,88873.7,16740.84,890
Macon,3,15,7942747.6,7282682.77,207866.56,174865.85,33000.71,"1,152"
Carmi,11,49,20692542.14,19061230.91,513690.55,432124.77,81565.78,"4,913"
Amboy,6,28,12728296.65,11678926.15,331922.3,279451.39,52470.91,"2,455"
Matherville,1,3,905180.22,838512.55,21170.83,17837.46,3333.37,923
Albion,4,17,2857930.4,2614409.06,76784.27,64608.15,12176.12,"2,034"
Baldwin,2,6,744476.66,674482.16,21808.36,18308.58,3499.78,308
Nashville,12,58,28940132.94,26699463.87,704018.37,591980.36,112038.01,"3,093"
Riverton,5,25,13731169.71,12671277.23,333950.58,280955.56,52995.02,"3,443"
Genoa,7,34,11718687.86,10693723.35,324722.07,273472.19,51249.88,"4,878"
Metropolis,13,59,43182512.42,39570702.53,1137605.56,957017.61,180587.95,"6,184"
Mount Pulaski,3,15,5497717.53,5068223.29,135108.94,113634.12,21474.82,"1,582"
Greenfield,2,10,1110098.68,1023049.8,27905.19,23552.73,4352.46,"1,323"
South Chicago Heights,8,39,22160854.77,20251045.54,602026.62,506535.77,95490.85,"4,105"
Edinburg,4,20,5315339.3,4900203.49,130585.73,109827.04,20758.69,"1,186"
Deer Creek,2,9,3141503.73,2903070.95,74957.04,63035.34,11921.7,659
Harwood Heights,5,25,6117573.37,5575469.82,174151.08,147045.81,27105.27,"8,552"
Avon,2,9,2883253.17,2642216.8,75552.7,63500.82,12051.88,767
Cherry,1,5,780693.09,719820.56,19355.19,16311.58,3043.61,"2,037"
Hammond,1,4,1513234.37,1401169.22,35312.97,29709.68,5603.29,485
Fairview Heights,13,62,39983387.3,36660876.92,1047657.03,881514.26,166142.77,"16,360"
German Valley,1,5,1262034.39,1169758.61,29107.38,24493.6,4613.78,564
Toluca,5,23,4259054.94,3968740.3,91456.94,76941.1,14515.84,"1,344"
Carpentersville,29,137,83833992.61,76882683.67,2191311.86,1843717.59,347594.27,"38,138"
Union,4,16,3178920.89,2902817.41,87726.32,73921.09,13805.23,509
Monticello,10,46,25292964.3,23144403.0,679890.0,572461.19,107428.81,"5,809"
Mundelein,16,75,42681851.5,38926567.31,1181611.5,993843.93,187767.57,"31,683"
Cedarville,2,10,417398.49,386361.12,10242.41,8690.53,1551.88,648
Blue Mound,2,10,3720235.27,3399758.95,100812.68,84788.81,16023.87,"1,142"
Bement,4,18,5706562.85,5255748.27,142158.13,119614.28,22543.85,"1,502"
Yorkville,17,82,34644816.4,31807129.97,891425.19,749532.91,141892.28,"19,145"
Pittsburg,1,5,2498649.4,2270887.62,71557.15,60169.02,11388.13,571
Stronghurst,2,6,228142.46,210953.05,5672.47,4813.0,859.47,932
Fulton,7,35,21979623.32,20206731.77,560514.42,471868.89,88645.53,"3,302"
Sparta,7,30,16505301.82,15209563.34,407643.77,342854.92,64788.85,"4,384"
Steward,1,2,1098038.09,1011146.96,27181.75,22837.17,4344.58,"14,810"
Strasburg,2,8,2281814.17,2089811.88,60380.0,50779.88,9600.12,473
Industry,1,3,2106.6,1492.0,184.37,153.64,30.73,392
Staunton,10,48,18294638.76,16777110.51,479315.23,403438.63,75876.6,"5,036"
Cairo,4,18,9615064.52,8775778.66,264982.32,223017.56,41964.76,"2,528"
Kirkland,4,19,4921454.57,4513115.95,129694.99,109277.9,20417.09,"1,816"
Kingston,2,10,3756499.0,3441424.42,99177.68,83423.81,15753.87,"1,270"
Elmwood,3,12,4484066.52,4121359.87,114239.08,96103.74,18135.34,"2,292"
Rosiclare,1,5,1243200.07,1139003.49,32752.93,27543.06,5209.87,836
Loami,1,3,486249.16,440562.46,14396.32,12111.99,2284.33,"1,037"
Sugar Grove,4,19,14400167.49,13267887.86,356992.25,300376.59,56615.66,"9,545"
Bowen,3,10,578609.09,524668.26,17377.12,14683.57,2693.55,444
Ursa,2,6,1208200.07,1107160.81,31669.09,26617.1,5051.99,579
Ladd,5,18,5288620.73,4848176.49,138597.1,116574.5,22022.6,"1,185"
Oakland,1,5,0.0,0.0,0.0,0.0,0.0,"1,053"
Tiskilwa,2,8,1952490.27,1813923.75,43504.46,36576.13,6928.33,858
Taylor Springs,2,8,1791248.2,1647745.11,45196.27,38020.13,7176.14,647
Paxton,3,15,5786331.16,5314695.5,148165.74,124590.83,23574.91,"4,279"
Bartelso,5,17,2715569.89,2506523.24,66630.15,56177.7,10452.45,661
Belleville,35,161,77390309.95,71149066.59,1964587.02,1652520.2,312066.82,"41,926"
Anna,12,58,21169393.01,19489963.31,530218.0,446246.08,83971.92,"4,232"
Calumet City,22,101,67194828.86,61761627.65,1711557.31,1439896.23,271661.08,"36,856"
Oakford,1,4,1885406.11,1727133.6,49640.49,41726.84,7913.65,354
Johnston City,9,42,14335589.75,13150573.8,372729.48,313479.05,59250.43,"3,485"
Cullom,1,5,1052876.99,983001.25,22085.65,18591.82,3493.83,650
Limestone,1,5,1530500.25,1406797.38,38970.9,32785.71,6185.19,"1,576"
Paris,13,59,40055624.87,36746746.73,1041469.52,876024.08,165445.44,"8,424"
Mansfield,2,10,3021366.8,2779479.78,76371.89,64277.5,12094.39,942
Maple Park,4,17,6488914.08,5914778.61,180429.7,151722.75,28706.95,"1,482"
Alto Pass,1,4,275872.71,253234.08,7200.0,6068.01,1131.99,278
Summit,27,133,97413957.62,89340345.63,2542171.46,2138487.49,403683.97,"11,340"
Savanna,14,52,20455417.28,18726468.73,544542.98,458094.82,86448.16,"2,977"
O'Fallon,15,70,40621476.29,37416393.14,1008517.71,848227.53,160290.18,"29,277"
Spring Grove,8,39,16981982.96,15589753.24,437820.74,368207.56,69613.18,"5,792"
Oreana,1,5,2604672.7,2382720.7,70184.39,59086.78,11097.61,728
Murphysboro,10,51,26345258.48,24385951.28,616726.83,518761.1,97965.73,"7,951"
Zion,8,40,55554420.63,50732129.76,1519326.98,1278211.05,241115.93,"24,047"
Swansea,13,64,46228734.44,42525758.42,1167873.57,982707.78,185165.79,"13,863"
Antioch,16,77,67152629.1,61622082.68,1745253.57,1468725.45,276528.12,"14,305"
Thomson,1,5,710154.92,647117.5,19678.52,16525.38,3153.14,479
Virgil,1,3,927125.56,845555.61,25823.65,21745.15,4078.5,400
Roodhouse,4,18,7091984.17,6504221.61,184474.55,155086.32,29388.23,"1,792"
Grafton,7,23,3234350.26,2955752.53,88606.22,74676.17,13930.05,757
East Peoria,26,111,52001103.85,47625215.85,1377742.74,1158937.72,218805.02,"22,876"
Hillcrest,1,5,8276176.37,7653443.96,195544.11,164402.41,31141.7,"1,265"
Cuba,3,14,3864705.96,3571459.67,91808.82,77145.44,14663.38,"1,285"
Germantown,5,25,8102693.72,7477390.69,197199.12,165933.7,31265.42,"1,180"
Minier,3,13,3562932.38,3269056.04,92357.41,77663.41,14694.0,"1,200"
