athlete_id,Athlete,Country,Gender
295,"BAXTER, Irving",USA,Men
296,"COLKETT, Meredith Bright",USA,Men
297,"GARRETT, Robert",USA,Men
298,"SHELDON, Richard",USA,Men
299,"MCCRACKEN, Josiah",USA,Men
300,"SHELDON, Lewis Pendleton",USA,Men
301,"PRINSTEIN, Meyer",USA,Men
302,"CONNOLLY, James",USA,Men
303,"GARRETT, Robert",USA,Men
304,"EWRY, Ray",USA,Men
305,"BAXTER, Irving",USA,Men
306,"De AMEZOLA y ASPIZUA, José",ESP,Men
307,"VILLOTA BAQUIOLA, Francisco",ESP,Men
308,"DURQUETTY, Maurice",FRA,Men
309,ETCHEGARAY,FRA,Men
310,"BEACHCROFT, Charles",GBR,Men
311,"BIRKETT, Arthur Ernest",GBR,Men
312,"BOWERMAN, Alfred James",GBR,Men
313,"BUCKLEY, George John",GBR,Men
314,"BURCHELL, Francis Romulus",GBR,Men
315,"CHRISTIAN, Frederick William",GBR,Men
316,"CORNER, Harry Richard",GBR,Men
317,"CUMING, Frederick Wlliam",GBR,Men
318,"DONNE, William Stephen",GBR,Men
319,"POWLESLAND, Alfred James",GBR,Men
320,"SYMES, John",GBR,Men
321,"TOLLER, Montagu Henry",GBR,Men
322,"ANDERSON, W.",FRA,Men
323,"ATTRILL, W.T.",FRA,Men
324,"BRAID, J.",FRA,Men
325,"BROWNING, W.",FRA,Men
326,"HORNE, R.",FRA,Men
327,"JORDAN, T.H.",FRA,Men
328,"MCEVOY, A.",FRA,Men
329,"ROBINSON, D.",FRA,Men
330,"ROQUES, F.",FRA,Men
331,"SCHNEIDAU, A.J.",FRA,Men
332,"TERRY, Henry John",FRA,Men
333,"TOMALIN, P.H.",FRA,Men
334,AUMOITTE,FRA,Men
335,JOHIN,FRA,Men
336,WAYDELICH,FRA,Men
337,AUMOITTE,FRA,Men
338,JOHIN,FRA,Men
339,SAUTREAU,FRA,Men
340,WAYDELICH,FRA,Men
341,VIGNEROT,FRA,Men
342,"DAUMAIN, .....",FRA,Men
343,"BASTIEN, Louis",FRA,Men
344,"HILDEBRAND, Louis",FRA,Men
345,"LAKE, John Henry",USA,Men
346,"TAILLANDIER, Georges",FRA,Men
347,"SANZ, Fernand",FRA,Men
348,"VAN DE POELE, Georges",BEL,Men
349,"GARDERES, Dominique Maximien",FRA,Men
350,"TRISSINO, Gian Giorgio",ITA,Men
351,"DE CHAMPSAVIN, Louis",FRA,Men
352,"HAEGEMAN, Aimé",BEL,Men
353,"VAN DE POELE, Georges",BEL,Men
354,DE BELLEGARDE,FRA,Men
355,"VAN LANGHENDONCK, Constant",BEL,Men
356,"TRISSINO, Gian Giorgio",ITA,Men
357,"SEE, Léon",FRA,Men
358,"FONST, Ramon",CUB,Men
359,"PERREE, Louis",FRA,Men
360,"SEE, Léon",FRA,Men
361,"AYAT, Albert",FRA,Men
362,"FONST, Ramon",CUB,Men
363,"LAURENT, Henri",FRA,Men
364,"AYAT, Albert",FRA,Men
365,"BOUGNOL, Emile",FRA,Men
366,"BOULENGER, Marcel Jacques",FRA,Men
367,"COSTE, Emile",FRA,Men
368,"MASSON, Henri",FRA,Men
369,"MIMIAGUE, Jean-Baptiste",FRA,Men
370,"MERIGNAC, Lucien",FRA,Men
371,"KIRCHHOFFER, Alphonse",FRA,Men
372,"FLESCH, Siegfried",AUT,Men
373,"DE LA FALAISE, Georges",FRA,Men
374,"THIEBAUT, Léon",FRA,Men
375,"NERALIC, Milan",AUT,Men
376,"CONTE, Antonio",ITA,Men
377,"SANTELLI, Italo",ITA,Men
378,"DELBECQUE, Albert",BEL,Men
379,"KELECOM, R.",BEL,Men
380,"LEBOUTTE, Marcel",BEL,Men
381,LONDOT,BEL,Men
382,"MOREAU, Ernest",BEL,Men
383,"NEEFS, E.",BEL,Men
384,"PELGRIMS, Georges",BEL,Men
385,"RENIER, Alphonse",BEL,Men
386,"SPANNOGHE, E.",BEL,Men
387,"THORNTON, Erich",BEL,Men
388,VAN HEUCKELUM,BEL,Men
389,"BUCKENHAM, Claude Percy",GBR,Men
390,"BURRIDGE, T.E.",GBR,Men
391,"CHALK, Alfred Ernest",GBR,Men
392,"GROSLING, William Sullivan",GBR,Men
393,"HASLAM, A.",GBR,Men
394,"JONES, J.H.",GBR,Men
395,"NICHOLAS, J.",GBR,Men
396,"QUASH, William Francis",GBR,Men
397,"SPACKMAN, F.G.",GBR,Men
